Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,3000.00
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,6000.00
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,9000.00
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,12000.00
8007424313,2022-03-15,New Withdrawal,,2022-03-15,5555.55,0.00,6444.45
8006780504,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,3000.00
8006780504,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,6000.00
8006780504,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,9000.00
8006780504,2022-03-15,New Deposit,,2022-03-15,0.00,3000.00,12000.00
8006780504,2022-03-15,New Withdrawal,,2022-03-15,5555.55,0.00,6444.45
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3111.11,9555.56
8007424313,2022-03-15,New Withdrawal,,2022-03-15,5555.55,0.00,4000.01
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3111.11,9555.56
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3222.22,12777.78
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3333.33,16111.11
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3444.44,19555.55
8007424313,2022-03-15,New Withdrawal,,2022-03-15,5555.55,0.00,14000.00
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3111.11,14666.67
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3222.22,17888.89
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3333.33,21222.22
8007424313,2022-03-15,New Deposit,,2022-03-15,0.00,3444.44,24666.66
8007424313,2022-03-15,New Withdrawal,,2022-03-15,5555.55,0.00,19111.11
